TransactionID,Amount,PaymentMethod,Location,Device,TransactionDate,Fraud
TXN00055,43668,Debit Card,Pondicherry,iPhone,2025-01-11,No
TXN00056,15391,Net Banking,Amritsar,iPhone,2024-08-06,No
TXN00057,52958,Credit Card,Saharanpur,iPhone,2025-03-29,No
TXN00058,72521,Debit Card,Solapur,Laptop,2026-03-26,No
TXN00059,22150,Credit Card,Jammu,iPhone,2026-02-17,No
TXN00060,5561,UPI,Miryalaguda,Laptop,2025-05-04,No
TXN00061,95589,UPI,Mau,Laptop,2026-03-09,No
TXN00062,67655,Credit Card,Kumbakonam,iPhone,2025-04-27,No
TXN00063,59948,Credit Card,Guntakal,Laptop,2026-06-30,No
TXN00064,2233,Credit Card,Siliguri,Laptop,2024-11-30,No
TXN00065,72417,UPI,Gorakhpur,Laptop,2024-09-28,No
TXN00066,64482,Debit Card,Gurgaon,Laptop,2026-05-04,No
TXN00067,62361,Credit Card,Ujjain,Android,2024-09-06,No
TXN00068,3032,Debit Card,Thrissur,Laptop,2026-06-26,No
TXN00069,32151,Net Banking,Sirsa,iPhone,2025-11-25,No
TXN00070,37450,Debit Card,Narasaraopet,Laptop,2026-02-06,No
TXN00071,9473,Net Banking,Nagaon,Laptop,2025-02-05,No
TXN00072,15826,UPI,Bongaigaon,iPhone,2026-04-20,No
TXN00073,14536,Net Banking,Tumkur,iPhone,2024-11-05,No
TXN00074,6480,UPI,Bulandshahr,Android,2024-10-14,No
TXN00075,42787,Credit Card,Tadepalligudem,iPhone,2024-10-18,No
TXN00076,89384,Net Banking,Lucknow,iPhone,2024-12-12,No
TXN00077,16916,UPI,Danapur,Laptop,2026-01-22,No
TXN00078,58634,UPI,Kochi,Android,2026-06-01,No
TXN00079,65535,UPI,Kishanganj,iPhone,2026-01-14,No
TXN00080,93558,UPI,Vijayanagaram,Android,2026-07-01,No
TXN00081,32823,Net Banking,Tadepalligudem,Laptop,2025-03-23,No
TXN00082,25431,Debit Card,Meerut,iPhone,2024-08-20,No
TXN00083,62298,Credit Card,Darbhanga,iPhone,2024-07-11,No
TXN00084,36028,Debit Card,Anantapuram,Android,2025-03-23,No
TXN00085,50418,Net Banking,New Delhi,iPhone,2025-08-23,No
TXN00086,89081,Net Banking,Sambhal,Android,2026-02-02,No
TXN00087,1048,Debit Card,Jamnagar,Laptop,2026-02-17,No
TXN00088,90671,Net Banking,Haldia,Android,2024-11-11,No
TXN00089,43497,Net Banking,Medininagar,Laptop,2024-08-09,No
TXN00090,65155,Net Banking,Barasat,Android,2024-11-25,No
TXN00091,17337,Credit Card,Muzaffarnagar,Laptop,2025-06-24,No
TXN00092,53237,UPI,Machilipatnam,Laptop,2026-05-01,No
TXN00093,23192,Net Banking,Durg,iPhone,2025-01-29,No
TXN00094,99109,Debit Card,Morbi,iPhone,2025-09-08,No
TXN00095,90504,Debit Card,Malegaon,iPhone,2025-12-05,No
TXN00096,53667,UPI,Belgaum,Android,2025-02-04,No
TXN00097,18954,Credit Card,Kamarhati,iPhone,2026-04-17,No
TXN00098,63549,Net Banking,Thoothukudi,Android,2024-12-04,No
TXN00099,53471,UPI,Khora ,Laptop,2026-03-03,No
TXN00100,3270,Credit Card,Karimnagar,iPhone,2026-01-30,No
TXN00101,84364,Net Banking,Deoghar,Android,2025-05-27,No
TXN00102,6164,Debit Card,Sambalpur,iPhone,2025-03-05,No
TXN00103,83036,Net Banking,Mango,Laptop,2025-03-17,No
TXN00104,89937,Credit Card,Bettiah,Android,2024-10-25,No
TXN00105,19549,UPI,Gandhidham,Android,2025-06-11,No
TXN00106,44576,Credit Card,Madurai,iPhone,2025-01-04,No
TXN00107,49621,Net Banking,Durgapur,Android,2025-02-20,No
TXN00108,56657,Debit Card,Kottayam,Android,2026-06-08,No
TXN00109,36022,Debit Card,Khora ,iPhone,2026-05-20,No
TXN00110,66289,Debit Card,Thrissur,Laptop,2025-08-19,No
TXN00111,18449,Net Banking,Surat,Android,2025-01-14,No
TXN00112,17788,Credit Card,Parbhani,Android,2025-02-07,No
TXN00113,71117,UPI,Anantapuram,Laptop,2026-02-06,No
TXN00114,35710,Net Banking,Chandrapur,Laptop,2025-12-25,No
TXN00115,84051,Net Banking,Vellore,iPhone,2025-10-14,No
TXN00116,41841,Debit Card,Ballia,iPhone,2026-04-17,No
TXN00117,57055,UPI,Baranagar,iPhone,2024-11-08,No
TXN00118,8099,Net Banking,Salem,Laptop,2024-08-17,No
TXN00119,24760,UPI,Jabalpur,Android,2026-03-22,No
TXN00120,18119,Debit Card,Solapur,iPhone,2025-12-12,No
TXN00121,85288,Net Banking,Bhind,Laptop,2024-07-09,No
TXN00122,24629,UPI,Bidar,iPhone,2024-10-13,No
TXN00123,74801,Debit Card,Mathura,iPhone,2025-01-01,No
TXN00124,38833,Net Banking,Akola,Android,2025-05-07,No
TXN00125,53124,Net Banking,Jehanabad,Android,2026-04-07,No
TXN00126,28919,Net Banking,Jalna,iPhone,2025-11-27,No
TXN00127,54593,Credit Card,Yamunanagar,Android,2026-06-24,No
TXN00128,19837,Net Banking,Gangtok,Laptop,2025-09-12,No
TXN00129,46120,Net Banking,Haridwar,iPhone,2026-06-13,No
TXN00130,32379,Credit Card,Karimnagar,iPhone,2026-03-12,No
TXN00131,24014,Credit Card,Jaunpur,Android,2025-10-25,No
TXN00132,15053,Credit Card,Sambhal,iPhone,2026-02-20,No
TXN00133,65924,Credit Card,Jabalpur,Laptop,2025-01-25,No
TXN00134,72978,UPI,Loni,iPhone,2025-02-16,No
TXN00135,11702,Net Banking,Kolhapur,Laptop,2025-01-30,No
TXN00136,31677,UPI,Agra,iPhone,2025-07-13,No
TXN00137,474,UPI,Jhansi,Android,2026-04-17,No
TXN00138,87249,UPI,Srinagar,iPhone,2025-11-09,No
TXN00139,67638,UPI,Ajmer,Laptop,2025-04-29,No
TXN00140,47453,Debit Card,Hospet,Laptop,2025-11-27,No
TXN00141,33709,Debit Card,Gurgaon,Android,2026-04-06,No
TXN00142,6623,Credit Card,Hajipur,Laptop,2025-05-17,No
TXN00143,58984,Credit Card,Amroha,iPhone,2025-07-20,Yes
TXN00144,24453,Debit Card,Kishanganj,Laptop,2024-10-30,No
TXN00145,89184,UPI,Nanded,Laptop,2026-01-15,No
TXN00146,5455,Net Banking,Bhubaneswar,Laptop,2024-10-14,No
TXN00147,90143,Debit Card,Agartala,Android,2025-11-04,No
TXN00148,50404,Credit Card,Coimbatore,Android,2026-01-27,No
TXN00149,60252,Credit Card,Sangli-Miraj & Kupwad,Android,2025-07-24,No
TXN00150,11367,Net Banking,Dindigul,iPhone,2024-08-22,No
TXN00151,45163,Credit Card,Sonipat,Laptop,2024-12-23,No
TXN00152,86431,UPI,Baranagar,iPhone,2026-01-18,No
TXN00153,19337,Debit Card,Srinagar,Laptop,2025-11-01,No
TXN00154,38379,Net Banking,Bilaspur,Laptop,2026-02-17,No
TXN00155,99385,Credit Card,Ambala,Android,2026-03-22,No
TXN00156,54491,UPI,Malegaon,Laptop,2025-11-05,No
TXN00157,17537,Credit Card,Bilaspur,Android,2026-03-22,No
TXN00158,4350,Debit Card,Baranagar,Android,2025-08-20,No
TXN00159,6194,Net Banking,Lucknow,Laptop,2024-07-10,No
TXN00160,89389,Credit Card,Tiruppur,Laptop,2025-02-24,No
TXN00161,16266,Debit Card,Shahjahanpur,Laptop,2025-12-28,No
TXN00162,94251,Credit Card,Faridabad,iPhone,2025-10-08,No
TXN00163,75905,Debit Card,Parbhani,iPhone,2024-12-20,No
TXN00164,25328,Debit Card,Kulti,Laptop,2024-10-25,No
TXN00165,95571,Debit Card,Jaunpur,iPhone,2024-12-15,No
TXN00166,85283,Credit Card,Gandhidham,Laptop,2025-09-12,No
TXN00167,57832,Net Banking,Ghaziabad,Android,2024-07-16,No
TXN00168,91728,UPI,Nagaon,Android,2024-12-28,No
TXN00169,70164,Credit Card,Davanagere,Android,2025-01-11,No
TXN00170,53462,Net Banking,Medininagar,iPhone,2025-06-04,No
TXN00171,9202,Debit Card,Chandrapur,Laptop,2024-09-08,No
TXN00172,87924,UPI,Bhimavaram,iPhone,2025-01-22,No
TXN00173,94216,Debit Card,Kamarhati,iPhone,2025-08-03,No
TXN00174,71096,Net Banking,Kamarhati,iPhone,2026-06-03,No
TXN00175,60556,Credit Card,Gaya,iPhone,2026-02-27,No
TXN00176,87002,Net Banking,Kanpur,iPhone,2024-08-09,No
TXN00177,73644,Debit Card,Ballia,iPhone,2025-09-25,No
TXN00178,52982,Credit Card,Durg,iPhone,2026-03-25,No
TXN00179,45713,Net Banking,Proddatur,iPhone,2025-09-19,No
TXN00180,39111,Net Banking,Bilaspur,iPhone,2025-11-18,No
TXN00181,26666,Credit Card,Ulhasnagar,Laptop,2024-11-13,No
TXN00182,96297,Credit Card,Imphal,iPhone,2025-04-11,No
TXN00183,51746,UPI,Sultan Pur Majra,iPhone,2026-01-06,No
TXN00184,96786,Credit Card,Satna,Android,2025-02-03,No
TXN00185,84735,Debit Card,Belgaum,Android,2026-03-18,No
TXN00186,55637,UPI,Malegaon,Laptop,2025-09-15,No
TXN00187,16706,UPI,Patna,iPhone,2024-10-09,No
TXN00188,35601,Net Banking,Kumbakonam,Android,2024-10-17,No
TXN00189,24605,Credit Card,Vasai-Virar,iPhone,2025-08-07,No
TXN00190,61080,Credit Card,Rampur,Laptop,2025-04-23,No
TXN00191,28383,Net Banking,Pimpri-Chinchwad,Android,2024-10-09,No
TXN00192,7629,Debit Card,Bilaspur,Android,2024-11-08,No
TXN00193,83089,Net Banking,Durg,Android,2026-06-14,No
TXN00194,21433,Debit Card,Dibrugarh,iPhone,2026-05-01,No
TXN00195,40275,Credit Card,Durgapur,iPhone,2025-01-05,No
TXN00196,31605,Debit Card,Vijayanagaram,Android,2024-10-24,No
TXN00197,10592,Net Banking,Nagpur,Android,2025-06-01,No
TXN00198,62408,Net Banking,Alwar,Android,2025-10-24,No
TXN00199,76829,UPI,Ujjain,Android,2026-06-01,No
TXN00200,21652,UPI,Bharatpur,iPhone,2025-02-03,No
TXN00201,28538,Debit Card,Chandigarh,Android,2024-09-03,No
TXN00202,90579,Net Banking,Jaipur,iPhone,2025-06-26,No
TXN00203,55349,UPI,Jehanabad,Laptop,2026-06-15,No
TXN00204,65880,Credit Card,Ahmedabad,Laptop,2024-09-10,No
TXN00205,11448,Debit Card,Jodhpur,Android,2026-02-21,No
TXN00206,94219,Net Banking,Davanagere,iPhone,2025-04-06,No
TXN00207,37832,Net Banking,Katihar,Laptop,2024-09-06,No
TXN00208,87754,Debit Card,Moradabad,Android,2024-10-13,No
TXN00209,80509,UPI,Mysore,Android,2026-03-11,No
TXN00210,71020,UPI,Thane,Laptop,2024-09-03,No
TXN00211,47535,Credit Card,Bally,Android,2025-12-01,No
TXN00212,81530,Debit Card,Mathura,iPhone,2026-02-04,No
TXN00213,87390,Net Banking,Satna,Laptop,2025-11-15,No
TXN00214,49512,Net Banking,Giridih,iPhone,2025-01-11,No
TXN00215,69133,UPI,Hospet,iPhone,2025-12-28,No
TXN00216,34717,Debit Card,Kakinada,Android,2024-08-08,No
TXN00217,66848,UPI,Motihari,iPhone,2025-02-06,No
TXN00218,66659,Debit Card,Rourkela,Android,2025-10-25,No
TXN00219,49040,Debit Card,Pondicherry,Android,2025-07-24,No
TXN00220,95229,Debit Card,Tinsukia,Laptop,2024-12-20,No
TXN00221,94328,Debit Card,Durgapur,iPhone,2025-01-14,No
TXN00222,91689,Debit Card,Bulandshahr,iPhone,2025-05-28,No
TXN00223,25332,Credit Card,Imphal,Android,2025-09-14,No
TXN00224,70199,Net Banking,Amravati,Laptop,2025-06-30,No
TXN00225,76739,Credit Card,Bhavnagar,Laptop,2025-03-23,No
TXN00226,74665,Credit Card,Ambarnath,iPhone,2026-04-02,No
TXN00227,42626,Net Banking,Nandyal,iPhone,2024-12-20,No
TXN00228,76113,Credit Card,Amravati,Laptop,2025-02-21,No
TXN00229,49793,Debit Card,Akola,iPhone,2024-07-12,No
TXN00230,90269,Debit Card,Tadipatri,Laptop,2026-04-29,No
TXN00231,21801,Debit Card,Durgapur,Android,2025-07-21,No
TXN00232,46474,Net Banking,Tirupati,Laptop,2025-11-26,No
TXN00233,69574,Credit Card,Kishanganj,iPhone,2026-03-28,No
TXN00234,19559,UPI,Rewa,Laptop,2025-10-04,No
TXN00235,58940,UPI,Baranagar,iPhone,2024-07-28,No
TXN00236,97222,Debit Card,Madhyamgram,iPhone,2024-11-19,No
TXN00237,486,Net Banking,Mangalore,Laptop,2024-07-05,No
TXN00238,90340,UPI,Kolkata,Android,2025-12-05,No
TXN00239,8464,Credit Card,Kota,iPhone,2025-12-28,No
TXN00240,1525,UPI,Phagwara,iPhone,2024-12-07,No
TXN00241,32994,Net Banking,Jhansi,Laptop,2026-06-29,No
TXN00242,80396,Net Banking,Jodhpur,Laptop,2025-04-20,No
TXN00243,70727,Net Banking,North Dumdum,iPhone,2026-02-06,No
TXN00244,44141,Net Banking,Mathura,Laptop,2024-10-07,No
TXN00245,63763,UPI,Durg,Android,2024-07-13,No
TXN00246,60915,UPI,Korba,Android,2025-09-10,No
TXN00247,26414,Debit Card,Mahbubnagar,Laptop,2026-04-21,No
TXN00248,37010,UPI,Dibrugarh,iPhone,2025-09-08,No
TXN00249,6514,UPI,Kolhapur,iPhone,2025-09-15,No
TXN00250,3402,UPI,Uluberia,Android,2025-05-06,No
TXN00251,13147,Net Banking,Shimoga,iPhone,2026-04-18,No
TXN00252,25160,UPI,Bhatpara,Android,2026-01-07,No
TXN00253,13061,Net Banking,Kadapa,Laptop,2025-08-13,No
TXN00254,69433,Credit Card,Jaipur,Android,2024-09-13,No
TXN00255,46662,UPI,Udupi,iPhone,2024-11-23,No
TXN00256,3667,Credit Card,Kavali,iPhone,2024-12-07,No
TXN00257,66942,UPI,Ghaziabad,Android,2025-09-12,No
TXN00258,7746,Credit Card,Nellore,Laptop,2024-09-19,No
TXN00259,54114,Net Banking,Anantapuram,Laptop,2026-01-22,No
TXN00260,88227,Debit Card,Mathura,Laptop,2025-08-03,No
TXN00261,92556,Net Banking,Barasat,Android,2024-11-10,No
TXN00262,67177,Net Banking,Bhopal,Android,2024-07-17,No
TXN00263,92446,Debit Card,Ahmednagar,Laptop,2025-10-07,No
TXN00264,97532,Net Banking,Deoghar,Laptop,2025-11-08,No
TXN00265,64466,Credit Card,Hazaribagh,Android,2025-11-29,No
TXN00266,51214,Debit Card,Patna,Android,2025-06-29,No
TXN00267,91148,Debit Card,Pallavaram,iPhone,2026-05-16,No
TXN00268,23487,Net Banking,Hindupur,Android,2026-07-03,No
TXN00269,34986,Credit Card,Bhusawal,Laptop,2024-09-05,No
TXN00270,63432,Net Banking,Nagpur,iPhone,2026-04-10,No
TXN00271,76055,Credit Card,Tinsukia,Laptop,2026-03-08,No
TXN00272,63171,Net Banking,Erode,Laptop,2025-01-05,No
TXN00273,28155,Net Banking,Akola,Android,2025-04-04,No
TXN00274,96010,Net Banking,Serampore,Laptop,2024-07-31,No
TXN00275,48083,Debit Card,Munger,Android,2024-12-17,No
TXN00276,76674,Credit Card,Bharatpur,iPhone,2025-07-02,No
TXN00277,12279,Credit Card,Bhalswa Jahangir Pur,iPhone,2025-12-19,No
TXN00278,91072,Debit Card,Indore,Laptop,2025-09-13,No
TXN00279,91852,Credit Card,Secunderabad,Laptop,2024-08-11,No
TXN00280,91658,Credit Card,Tumkur,iPhone,2025-02-16,No
TXN00281,59230,Credit Card,Anantapur,Android,2026-04-30,No
TXN00282,88297,Net Banking,Erode,Laptop,2025-12-30,No
TXN00283,91213,Credit Card,Udupi,Android,2026-05-05,No
TXN00284,38824,Credit Card,Bhatpara,Android,2025-03-26,No
TXN00285,70758,Debit Card,Satna,Android,2025-02-14,No
TXN00286,13586,Net Banking,Mehsana,Android,2025-09-06,No
TXN00287,79146,Credit Card,Coimbatore,iPhone,2025-03-18,No
TXN00288,42418,Debit Card,Parbhani,Laptop,2026-05-01,No
TXN00289,7423,Credit Card,Anantapuram,Laptop,2025-10-01,No
TXN00290,26779,Credit Card,Moradabad,Laptop,2024-07-04,No
TXN00291,44873,Debit Card,Jalgaon,iPhone,2025-01-02,No
TXN00292,53860,Debit Card,Guntur,iPhone,2026-02-18,No
TXN00293,41319,Net Banking,Amaravati,iPhone,2025-06-14,No
TXN00294,13158,UPI,Erode,Android,2024-07-23,No
TXN00295,97013,UPI,Kurnool,iPhone,2025-09-12,No
TXN00296,40284,Debit Card,Solapur,Laptop,2025-03-27,No
TXN00297,49250,UPI,Ludhiana,iPhone,2025-08-16,No
TXN00298,72360,Net Banking,Sasaram,Laptop,2026-02-10,No
TXN00299,61828,Net Banking,Alwar,iPhone,2026-04-09,No
TXN00300,84445,UPI,Parbhani,Android,2026-01-01,No
TXN00301,78929,Net Banking,Hazaribagh,iPhone,2024-11-09,No
TXN00302,48743,Debit Card,Sambalpur,iPhone,2025-11-11,No
TXN00303,71698,Net Banking,Hazaribagh,Laptop,2024-12-21,No
TXN00304,42362,UPI,Medininagar,Android,2025-03-27,No
TXN00305,52228,Net Banking,Chinsurah,iPhone,2024-08-07,No
TXN00306,81471,UPI,Vijayawada,Laptop,2024-11-01,No
TXN00307,39332,UPI,Jorhat,Android,2024-11-06,No
TXN00308,75011,Net Banking,Gopalpur,iPhone,2024-12-22,No
TXN00309,18371,Net Banking,Karnal,iPhone,2025-02-10,No
TXN00310,22008,Net Banking,Bhilai,Android,2026-02-18,No
TXN00311,28299,Credit Card,Karawal Nagar,Android,2026-03-26,No
TXN00312,93531,Net Banking,Bongaigaon,Android,2025-07-02,No
TXN00313,97000,Net Banking,Nagaon,Android,2025-10-10,No
TXN00314,12655,UPI,Unnao,Laptop,2026-02-23,No
TXN00315,89870,UPI,Deoghar,Laptop,2025-10-20,No
TXN00316,43796,UPI,Junagadh,Android,2026-05-07,No
TXN00317,57426,UPI,Maheshtala,Laptop,2024-12-19,No
TXN00318,51308,Debit Card,Erode,iPhone,2024-07-26,No
TXN00319,93819,UPI,Shivpuri,iPhone,2024-09-11,No
TXN00320,16419,Debit Card,Bulandshahr,iPhone,2026-04-16,No
TXN00321,18049,UPI,Firozabad,iPhone,2025-03-15,No
TXN00322,85851,UPI,Tumkur,Android,2026-03-24,No
TXN00323,51455,Debit Card,Arrah,iPhone,2026-06-10,No
TXN00324,54085,Net Banking,Parbhani,iPhone,2025-08-04,No
TXN00325,1752,Debit Card,Danapur,Laptop,2025-01-21,No
TXN00326,19894,Credit Card,Avadi,Laptop,2025-10-02,No
TXN00327,51609,Credit Card,Howrah,Android,2026-04-16,No
TXN00328,17231,Credit Card,Bhatpara,iPhone,2024-12-22,No
TXN00329,17306,Net Banking,Tinsukia,iPhone,2026-06-14,No
TXN00330,29775,Credit Card,Phusro,Laptop,2025-04-08,No
TXN00331,27033,Debit Card,Bhiwani,iPhone,2025-07-06,No
TXN00332,65549,Debit Card,Durgapur,Laptop,2024-08-05,No
TXN00333,95843,UPI,Jamnagar,iPhone,2026-02-15,No
TXN00334,87578,Debit Card,Ratlam,Android,2025-09-20,No
TXN00335,43215,UPI,Durg,Laptop,2026-07-03,No
TXN00336,25745,Credit Card,Nagercoil,iPhone,2026-06-15,No
TXN00337,78214,Credit Card,Ajmer,iPhone,2025-01-09,No
TXN00338,11943,Debit Card,Darbhanga,iPhone,2026-06-16,No
TXN00339,17594,UPI,Kumbakonam,Laptop,2026-05-19,No
TXN00340,98187,Credit Card,Eluru,iPhone,2025-10-25,No
TXN00341,14282,Credit Card,Agra,iPhone,2026-02-07,No
TXN00342,68684,UPI,Rajkot,iPhone,2025-11-24,No
TXN00343,52087,UPI,Ongole,Laptop,2025-09-29,No
TXN00344,21515,Debit Card,Nagercoil,Laptop,2025-09-19,No
TXN00345,54644,Credit Card,Nagpur,Android,2025-01-30,No
TXN00346,76075,Debit Card,Kolkata,Laptop,2024-11-14,No
TXN00347,1528,Credit Card,Katihar,Android,2026-02-28,No
TXN00348,76696,Net Banking,Pune,Laptop,2024-08-20,No
TXN00349,3942,UPI,Bettiah,Android,2024-10-14,No
TXN00350,39599,Credit Card,Bidar,iPhone,2025-08-20,No
TXN00351,75619,UPI,Unnao,Android,2025-10-12,No
TXN00352,93016,Net Banking,Eluru,iPhone,2025-03-08,No
TXN00353,11400,Net Banking,Narasaraopet,Laptop,2026-05-09,No
TXN00354,47429,Net Banking,Hajipur,Laptop,2026-05-22,No
TXN00355,91424,UPI,Ratlam,iPhone,2024-07-10,No
TXN00356,51121,Credit Card,Kolkata,Android,2025-01-21,No
TXN00357,25750,Net Banking,Patna,iPhone,2026-04-15,No
TXN00358,31008,Debit Card,Gudivada,Laptop,2026-04-01,No
TXN00359,62757,Debit Card,Serampore,iPhone,2025-05-12,No
TXN00360,43416,UPI,Rewa,Android,2025-02-22,No
TXN00361,8883,Debit Card,Bardhaman,iPhone,2025-12-19,No
TXN00362,49853,UPI,Tadepalligudem,iPhone,2025-10-18,No
TXN00363,24073,Net Banking,Mysore,Android,2026-02-20,No
TXN00364,97835,Credit Card,Raebareli,Android,2025-08-20,No
TXN00365,81723,Credit Card,Etawah,Laptop,2024-08-10,No
TXN00366,31517,Credit Card,Avadi,Laptop,2024-12-14,No
TXN00367,97575,Credit Card,Tenali,Android,2025-05-11,No
TXN00368,68671,UPI,Pimpri-Chinchwad,Android,2026-06-02,No
TXN00369,68622,UPI,Ahmedabad,Android,2025-07-26,No
TXN00370,46508,UPI,Aizawl,Android,2024-07-07,No
TXN00371,68554,Net Banking,Munger,iPhone,2025-03-31,No
TXN00372,52935,UPI,Siwan,iPhone,2025-01-01,No
TXN00373,50156,UPI,Muzaffarnagar,Android,2025-12-05,No
TXN00374,20345,UPI,Yamunanagar,Laptop,2025-02-14,No
TXN00375,68046,Credit Card,Bhavnagar,iPhone,2025-09-05,No
TXN00376,25887,UPI,Dhanbad,Android,2025-04-23,No
TXN00377,77082,Debit Card,Guntakal,Android,2025-07-30,No
TXN00378,87288,Credit Card,New Delhi,Laptop,2026-06-03,No
TXN00379,95086,UPI,Bhavnagar,Laptop,2025-03-21,No
TXN00380,51969,Debit Card,Begusarai,Android,2026-03-09,No
TXN00381,635,Net Banking,Faridabad,Android,2025-03-23,No
TXN00382,71930,Debit Card,Bongaigaon,Laptop,2026-04-07,No
TXN00383,85193,UPI,Unnao,Laptop,2024-12-02,No
TXN00384,58504,Debit Card,Berhampur,iPhone,2025-06-16,No
TXN00385,95473,Net Banking,Uluberia,Laptop,2025-03-09,No
TXN00386,33849,Debit Card,Davanagere,Android,2024-09-01,No
TXN00387,2533,Credit Card,Ludhiana,Laptop,2025-01-06,No
TXN00388,6011,UPI,Bally,iPhone,2024-07-20,No
TXN00389,93903,Net Banking,Guntur,iPhone,2025-04-15,No
TXN00390,4990,Debit Card,Bhagalpur,iPhone,2026-04-26,No
TXN00391,70072,Debit Card,Danapur,Android,2025-03-23,No
TXN00392,57865,Net Banking,Vijayanagaram,Android,2025-03-04,No
TXN00393,40341,Credit Card,Siliguri,iPhone,2024-08-27,No
TXN00394,74779,Debit Card,Rohtak,iPhone,2026-03-19,No
TXN00395,56805,Credit Card,Farrukhabad,Laptop,2025-09-14,No
TXN00396,73561,Credit Card,Raurkela Industrial Township,Android,2025-01-16,No
TXN00397,45527,Credit Card,Orai,Android,2025-07-15,No
TXN00398,62703,UPI,Uluberia,Android,2026-02-12,No
TXN00399,54467,Net Banking,Nanded,Android,2026-03-12,No
TXN00400,10173,UPI,Rajpur Sonarpur,Laptop,2025-04-14,No
TXN00401,53711,UPI,Bardhaman,Laptop,2024-12-10,No
TXN00402,50097,Debit Card,Kavali,Laptop,2026-04-03,No
TXN00403,84433,Debit Card,Tirupati,Android,2025-11-09,No
TXN00404,55667,Credit Card,Pallavaram,Android,2025-11-16,No
TXN00405,56483,Net Banking,Erode,Laptop,2026-04-30,No
TXN00406,46096,Credit Card,Amaravati,iPhone,2025-03-21,No
TXN00407,54192,Net Banking,Karawal Nagar,iPhone,2025-10-30,No
TXN00408,90726,Debit Card,Secunderabad,iPhone,2026-02-09,No
