ProductID,StoreID,Stock,ReorderLevel,DamagedStock,LostStock
5,S038,215,35,14,2
5,S039,321,39,0,6
5,S040,229,24,0,5
5,S041,67,64,4,10
5,S042,454,78,2,7
5,S043,80,72,0,7
5,S044,472,73,10,9
5,S045,126,60,4,1
5,S046,420,65,8,9
5,S047,234,56,9,6
5,S048,472,24,14,4
5,S049,441,31,8,5
5,S050,262,26,2,8
6,S001,350,70,11,0
6,S002,451,46,3,9
6,S003,349,51,2,6
6,S004,347,64,6,0
6,S005,258,67,6,2
6,S006,442,33,13,0
6,S007,244,51,4,2
6,S008,430,76,9,1
6,S009,53,31,8,4
6,S010,267,72,0,7
6,S011,101,78,10,5
6,S012,381,39,14,6
6,S013,363,75,7,1
6,S014,425,33,8,1
6,S015,259,74,0,8
6,S016,253,56,15,5
6,S017,121,27,12,3
6,S018,491,49,5,1
6,S019,347,47,6,2
6,S020,488,33,2,3
6,S021,55,35,6,1
6,S022,104,38,15,9
6,S023,156,32,11,2
6,S024,476,72,9,8
6,S025,493,67,1,1
6,S026,137,34,6,6
6,S027,243,75,4,6
6,S028,128,73,12,10
6,S029,260,40,1,9
6,S030,94,59,3,9
6,S031,139,75,11,8
6,S032,193,59,10,5
6,S033,380,63,15,9
6,S034,454,73,6,2
6,S035,136,52,12,0
6,S036,229,67,6,5
6,S037,294,34,14,6
6,S038,291,74,6,1
6,S039,236,39,15,3
6,S040,134,80,5,10
6,S041,55,62,2,7
6,S042,321,73,12,8
6,S043,440,64,9,6
6,S044,384,64,1,5
6,S045,279,57,15,3
6,S046,390,57,8,2
6,S047,413,60,10,5
6,S048,308,78,7,9
6,S049,328,48,5,7
6,S050,377,74,15,1
7,S001,344,72,2,7
7,S002,353,70,6,8
7,S003,339,79,4,2
7,S004,499,48,13,5
7,S005,235,34,13,6
7,S006,66,42,6,2
7,S007,213,25,15,7
7,S008,200,72,6,5
7,S009,461,75,5,9
7,S010,106,52,5,5
7,S011,55,57,11,3
7,S012,129,41,3,6
7,S013,220,70,10,10
7,S014,85,32,1,9
7,S015,122,69,8,6
7,S016,165,77,7,8
7,S017,276,80,0,6
7,S018,434,22,2,1
7,S019,313,80,15,10
7,S020,94,28,5,10
7,S021,456,48,10,1
7,S022,458,20,13,6
7,S023,71,75,15,2
7,S024,499,28,14,8
7,S025,160,37,1,6
7,S026,489,59,0,2
7,S027,133,50,10,5
7,S028,402,24,11,10
7,S029,456,54,4,9
7,S030,318,24,6,4
7,S031,223,45,3,6
7,S032,218,47,1,8
7,S033,141,68,14,10
7,S034,289,47,10,5
7,S035,107,49,8,0
7,S036,79,44,10,9
7,S037,408,23,12,6
7,S038,451,67,7,8
7,S039,85,52,6,5
7,S040,240,44,0,5
7,S041,299,33,13,4
7,S042,304,34,7,7
7,S043,401,58,9,6
7,S044,167,26,2,9
7,S045,110,26,13,4
7,S046,378,54,0,3
7,S047,389,33,2,7
7,S048,95,31,6,7
7,S049,488,45,1,9
7,S050,405,65,1,6
8,S001,133,57,8,2
8,S002,435,79,14,0
8,S003,422,33,5,1
8,S004,156,66,12,3
8,S005,146,63,4,8
8,S006,483,50,13,0
8,S007,426,29,14,10
8,S008,61,55,7,6
8,S009,83,65,3,3
8,S010,63,48,10,2
8,S011,348,48,1,3
8,S012,239,56,8,10
8,S013,79,29,13,7
8,S014,367,71,12,8
8,S015,283,71,8,3
8,S016,235,24,14,2
8,S017,247,23,14,10
8,S018,263,73,9,7
8,S019,201,46,15,1
8,S020,439,52,14,2
8,S021,323,23,14,9
8,S022,211,41,6,5
8,S023,235,44,8,1
8,S024,207,72,0,6
8,S025,278,27,4,7
8,S026,204,44,5,2
8,S027,135,66,7,6
8,S028,295,26,8,8
8,S029,369,42,4,6
8,S030,321,24,2,9
8,S031,58,24,9,6
8,S032,215,22,0,1
8,S033,263,70,11,10
8,S034,240,51,1,3
8,S035,254,64,1,0
8,S036,440,20,0,7
8,S037,487,43,0,2
8,S038,235,40,1,5
8,S039,182,71,3,7
8,S040,234,40,0,0
8,S041,181,34,3,8
8,S042,337,70,10,1
8,S043,184,28,10,8
8,S044,148,56,15,8
8,S045,58,33,4,8
8,S046,51,43,6,0
8,S047,349,43,9,9
8,S048,448,26,8,8
8,S049,253,38,2,2
8,S050,274,60,13,4
9,S001,281,37,6,9
9,S002,163,63,14,4
9,S003,285,69,9,5
9,S004,428,38,13,6
9,S005,66,80,6,2
9,S006,178,62,12,6
9,S007,290,63,11,0
9,S008,273,71,13,1
9,S009,85,63,8,2
9,S010,287,40,9,5
9,S011,248,45,2,1
9,S012,146,58,2,5
9,S013,190,74,0,1
9,S014,160,69,0,8
9,S015,454,37,15,1
9,S016,100,69,6,3
9,S017,193,51,5,8
9,S018,472,36,4,7
9,S019,135,21,13,10
9,S020,88,29,11,5
9,S021,452,24,9,3
9,S022,100,26,3,10
9,S023,99,43,14,3
9,S024,117,50,10,10
9,S025,233,47,4,1
9,S026,138,74,2,10
9,S027,226,24,13,2
9,S028,288,62,12,5
9,S029,280,47,8,5
9,S030,256,20,3,6
9,S031,332,65,2,0
9,S032,409,55,7,7
9,S033,124,29,12,3
9,S034,82,30,11,0
9,S035,433,45,2,9
9,S036,157,63,15,1
9,S037,103,54,14,10
9,S038,169,50,3,2
9,S039,364,72,2,5
9,S040,196,71,6,8
9,S041,132,57,5,7
9,S042,427,61,11,3
9,S043,294,48,13,4
9,S044,226,34,1,4
9,S045,394,43,15,1
9,S046,243,74,5,3
9,S047,255,76,12,3
9,S048,418,75,7,7
9,S049,250,60,2,2
9,S050,277,69,1,3
10,S001,432,51,1,1
10,S002,288,31,1,1
10,S003,197,58,6,0
10,S004,424,61,1,2
10,S005,191,73,11,3
10,S006,403,22,2,0
10,S007,96,22,13,0
10,S008,78,27,4,1
10,S009,240,72,3,0
10,S010,342,80,12,7
10,S011,472,35,11,4
10,S012,139,58,0,7
10,S013,212,25,15,2
10,S014,51,48,6,5
10,S015,68,70,0,6
10,S016,398,47,14,8
10,S017,133,56,7,0
10,S018,183,24,10,8
10,S019,380,64,7,10
10,S020,64,57,3,1
10,S021,156,65,10,3
10,S022,480,51,6,10
10,S023,226,37,12,7
10,S024,384,38,9,10
10,S025,192,72,4,0
10,S026,399,72,0,3
10,S027,298,34,2,8
10,S028,376,47,11,6
10,S029,372,26,15,5
10,S030,418,66,9,5
10,S031,67,52,11,8
10,S032,458,45,1,2
10,S033,467,55,14,4
10,S034,147,57,14,3
10,S035,109,27,13,4
10,S036,311,77,5,7
10,S037,349,69,12,1
10,S038,390,69,3,0
10,S039,137,49,15,9
10,S040,242,77,11,4
10,S041,62,76,12,5
10,S042,272,58,11,9
10,S043,109,75,10,1
10,S044,313,40,0,2
10,S045,400,32,0,4
10,S046,228,31,8,6
10,S047,271,60,15,7
10,S048,135,37,9,10
10,S049,85,30,4,8
10,S050,486,21,11,0
11,S001,63,31,10,3
11,S002,255,50,12,2
11,S003,337,39,7,5
11,S004,102,31,10,0
11,S005,337,27,10,4
11,S006,348,25,1,9
11,S007,179,23,14,8
11,S008,105,47,0,10
11,S009,349,79,13,8
11,S010,225,54,4,10
11,S011,179,52,9,7
11,S012,262,46,15,6
11,S013,152,38,14,8
11,S014,376,68,10,0
11,S015,189,23,10,6
11,S016,155,57,7,3
11,S017,174,45,0,7
11,S018,105,79,2,4
11,S019,248,56,0,2
11,S020,125,46,9,5
11,S021,104,68,12,2
11,S022,397,22,10,4
11,S023,97,54,6,9
11,S024,454,74,13,7
11,S025,486,44,9,0
11,S026,265,49,6,9
11,S027,401,61,5,8
11,S028,441,54,11,0
11,S029,339,38,14,1
11,S030,454,30,15,3
11,S031,410,51,10,8
11,S032,124,71,15,3
11,S033,273,80,14,7
11,S034,171,68,8,2
11,S035,98,76,9,4
11,S036,428,40,5,4
11,S037,121,67,4,5
11,S038,264,33,13,4
11,S039,299,43,12,1
11,S040,120,26,2,8
11,S041,461,66,13,6
11,S042,355,24,11,0
11,S043,262,46,5,0
11,S044,144,28,5,8
11,S045,484,78,14,9
11,S046,310,70,11,9
11,S047,359,25,8,6
11,S048,304,33,15,10
11,S049,100,79,5,2
11,S050,169,52,11,1
12,S001,371,62,2,10
12,S002,490,22,5,8
12,S003,289,44,15,0
12,S004,381,65,2,3
12,S005,128,65,2,0
12,S006,170,66,12,4
12,S007,285,48,15,8
12,S008,329,69,14,6
12,S009,478,38,12,10
12,S010,270,22,11,5
12,S011,474,42,6,2
12,S012,95,49,8,5
12,S013,129,62,15,9
12,S014,360,38,12,10
12,S015,297,22,10,6
12,S016,492,40,8,0
12,S017,409,21,15,2
12,S018,200,26,13,6
12,S019,245,63,6,8
12,S020,342,26,7,6
12,S021,451,33,7,2
12,S022,200,67,12,9
12,S023,307,44,3,6
12,S024,368,58,9,0
12,S025,190,46,14,7
12,S026,177,23,3,1
12,S027,344,67,2,8
12,S028,228,75,13,3
12,S029,403,20,14,5
12,S030,379,66,5,7
12,S031,252,42,11,0
12,S032,327,21,14,1
12,S033,393,57,2,6
12,S034,469,67,12,0
12,S035,236,27,3,5
12,S036,208,63,11,3
12,S037,350,37,14,10
12,S038,459,40,15,2
12,S039,283,55,11,0
12,S040,303,26,6,2
12,S041,249,63,1,9
12,S042,221,27,14,1
12,S043,109,77,7,3
12,S044,68,53,12,9
12,S045,439,27,4,2
12,S046,52,53,7,3
12,S047,288,53,11,6
12,S048,442,74,15,10
12,S049,257,20,5,7
12,S050,354,62,9,5
13,S001,356,26,4,7
13,S002,315,38,2,10
13,S003,231,69,5,9
13,S004,326,34,11,7
13,S005,99,78,2,9
13,S006,371,75,13,10
13,S007,355,59,7,8
13,S008,340,78,1,3
13,S009,205,74,5,8
13,S010,301,43,3,1
13,S011,470,77,7,1
13,S012,314,36,15,9
13,S013,132,59,11,10
13,S014,206,66,12,6
13,S015,359,21,10,0
13,S016,234,20,0,5
13,S017,308,74,15,8
13,S018,66,76,4,1
13,S019,210,63,8,0
13,S020,436,50,9,2
13,S021,440,52,8,2
13,S022,269,48,11,1
13,S023,89,73,4,4
13,S024,360,31,11,0
13,S025,83,51,6,2
13,S026,291,66,2,6
13,S027,431,55,15,7
13,S028,136,32,14,2
13,S029,325,73,5,0
13,S030,490,22,12,1
13,S031,206,63,4,4
13,S032,265,33,3,10
13,S033,445,37,7,0
13,S034,118,36,2,2
13,S035,278,43,4,5
13,S036,315,62,12,0
13,S037,195,78,3,9
13,S038,316,21,5,2
13,S039,117,34,9,9
13,S040,241,36,0,6
13,S041,273,59,10,3
13,S042,450,47,9,10
13,S043,112,38,6,0
13,S044,478,59,11,1
13,S045,428,76,11,3
13,S046,310,78,10,8
13,S047,115,50,4,4
13,S048,248,74,1,6
13,S049,433,66,11,8
13,S050,118,22,7,3
14,S001,324,27,0,0
14,S002,370,63,8,3
14,S003,140,39,1,0
14,S004,94,74,10,10
14,S005,327,26,6,8
14,S006,255,46,6,3
14,S007,111,78,4,8
14,S008,149,66,9,5
14,S009,213,38,2,6
14,S010,196,43,3,1
14,S011,137,21,5,0
14,S012,304,31,3,4
14,S013,312,59,10,3
14,S014,199,43,4,10
14,S015,450,37,15,3
14,S016,304,41,13,10
14,S017,216,32,3,9
14,S018,176,72,2,8
14,S019,443,74,4,2
14,S020,475,73,7,3
14,S021,428,42,14,6
14,S022,432,42,5,1
14,S023,211,68,7,10
14,S024,77,77,4,8
14,S025,422,68,7,10
14,S026,102,72,3,8
14,S027,363,67,0,4
14,S028,113,36,10,9
14,S029,70,54,9,4
14,S030,270,52,3,8
14,S031,256,22,2,5
14,S032,258,32,5,7
14,S033,244,33,6,6
14,S034,173,28,11,6
14,S035,75,57,3,8
14,S036,459,68,10,0
14,S037,417,31,3,0
14,S038,451,41,10,7
14,S039,79,46,10,0
14,S040,68,60,2,7
14,S041,209,73,10,2
14,S042,268,62,13,3
14,S043,123,50,15,4
14,S044,225,69,15,4
14,S045,174,31,10,7
14,S046,339,39,6,3
14,S047,341,26,15,6
14,S048,233,43,13,4
14,S049,261,41,7,8
14,S050,305,37,10,2
15,S001,493,44,10,2
15,S002,88,34,1,5
15,S003,463,21,2,2
15,S004,371,23,14,2
15,S005,165,63,1,1
15,S006,263,31,7,9
15,S007,100,54,15,3
15,S008,418,32,0,10
15,S009,380,38,0,6
15,S010,481,25,1,6
15,S011,89,54,0,4
15,S012,388,52,2,4
15,S013,164,59,9,7
15,S014,149,71,4,3
15,S015,387,52,11,6
15,S016,242,62,11,8
15,S017,403,21,8,2
15,S018,149,32,8,9
15,S019,449,44,2,8
15,S020,394,47,13,3
15,S021,68,44,8,5
15,S022,106,24,9,4
15,S023,341,37,2,9
15,S024,141,33,12,7
15,S025,68,47,15,4
15,S026,108,80,10,10
15,S027,267,60,15,10
15,S028,324,48,15,0
15,S029,175,39,11,4
15,S030,495,69,0,7
15,S031,182,68,13,10
15,S032,164,64,8,9
15,S033,311,42,11,7
15,S034,296,41,5,2
15,S035,339,20,6,3
15,S036,58,41,6,8
15,S037,146,60,4,3
15,S038,419,26,10,3
15,S039,158,32,0,2
15,S040,253,67,15,6
15,S041,283,40,7,4
15,S042,462,26,15,6
15,S043,466,24,10,9
15,S044,224,58,13,2
15,S045,487,29,3,6
15,S046,156,39,15,9
15,S047,170,69,13,2
15,S048,314,57,7,4
15,S049,465,77,11,3
15,S050,403,73,12,5
16,S001,361,30,4,0
16,S002,162,59,6,2
16,S003,283,73,7,9
16,S004,353,28,0,8
16,S005,106,61,3,8
16,S006,431,43,1,8
16,S007,60,44,15,4
16,S008,346,76,14,4
16,S009,330,56,8,10
16,S010,131,33,5,8
16,S011,459,54,15,1
16,S012,412,20,15,1
16,S013,79,23,1,8
16,S014,278,49,11,4
16,S015,201,23,14,2
16,S016,206,79,10,6
16,S017,338,75,4,6
16,S018,282,21,11,6
16,S019,432,66,14,6
16,S020,220,51,7,0
16,S021,239,75,13,0
16,S022,446,76,2,6
16,S023,475,70,1,1
16,S024,186,25,10,8
16,S025,120,25,2,3
16,S026,370,54,8,9
16,S027,435,22,4,0
16,S028,389,62,14,7
16,S029,168,53,9,6
16,S030,220,55,6,3
16,S031,449,56,6,10
16,S032,402,42,2,6
16,S033,143,73,13,7
16,S034,415,65,3,10
16,S035,148,40,7,3
16,S036,433,69,11,4
16,S037,377,61,2,8
16,S038,434,72,15,4
16,S039,204,46,12,5
16,S040,215,20,15,7
16,S041,353,74,11,6
16,S042,166,66,1,1
16,S043,172,21,7,1
16,S044,94,75,10,8
16,S045,252,61,2,10
16,S046,428,65,10,9
16,S047,108,35,5,9
16,S048,285,78,11,5
16,S049,284,48,8,4
16,S050,298,64,13,4
17,S001,437,68,9,4
17,S002,70,62,15,2
17,S003,438,62,8,4
17,S004,338,71,9,6
17,S005,322,79,15,8
17,S006,121,43,0,10
17,S007,91,55,15,4
17,S008,472,32,4,1
17,S009,286,58,2,7
17,S010,299,61,5,6
17,S011,266,22,6,4
17,S012,205,29,2,3
17,S013,283,50,2,4
17,S014,62,73,9,0
17,S015,232,72,1,2
17,S016,171,79,1,8
17,S017,182,28,0,5
17,S018,231,21,14,0
17,S019,147,58,15,10
17,S020,488,63,14,5
17,S021,397,62,1,2
17,S022,78,75,4,4
17,S023,56,58,8,7
17,S024,91,56,10,2
17,S025,477,28,14,7
17,S026,375,35,2,9
17,S027,359,64,4,6
17,S028,386,24,8,4
17,S029,174,72,6,6
17,S030,182,33,11,9
17,S031,401,29,5,5
17,S032,89,20,2,6
17,S033,264,65,11,3
17,S034,120,28,4,9
17,S035,126,33,10,4
17,S036,284,70,13,9
17,S037,186,64,5,7
17,S038,207,54,14,8
17,S039,472,46,1,0
17,S040,425,77,12,1
17,S041,59,24,10,2
17,S042,79,44,2,5
17,S043,194,34,0,8
17,S044,464,21,1,0
17,S045,140,51,4,4
17,S046,358,61,8,0
17,S047,179,75,3,5
17,S048,192,80,4,2
17,S049,448,75,5,2
17,S050,384,31,3,5
18,S001,77,80,8,6
18,S002,74,62,4,7
18,S003,120,25,9,2
18,S004,142,24,0,5
18,S005,462,31,9,2
18,S006,212,26,12,7
18,S007,103,41,15,5
18,S008,451,43,9,3
18,S009,456,38,1,2
18,S010,333,55,14,1
18,S011,135,73,14,4
18,S012,349,27,15,6
18,S013,372,77,9,5
18,S014,295,21,4,9
18,S015,147,44,11,5
18,S016,90,63,10,9
18,S017,248,62,9,2
18,S018,120,79,6,5
18,S019,176,24,4,9
18,S020,245,70,7,0
18,S021,112,27,12,0
18,S022,383,35,1,0
18,S023,147,44,6,0
18,S024,272,35,4,9
18,S025,279,71,12,2
18,S026,278,65,6,5
18,S027,393,27,10,7
18,S028,118,61,7,5
18,S029,146,25,5,1
18,S030,237,65,7,2
18,S031,63,73,0,1
18,S032,317,38,5,10
18,S033,301,26,15,5
18,S034,68,26,4,10
18,S035,284,38,5,2
18,S036,220,42,7,10
18,S037,225,41,4,1
18,S038,253,57,3,9
18,S039,492,53,9,9
18,S040,373,31,11,9
18,S041,206,63,11,2
18,S042,321,26,10,8
18,S043,365,75,8,4
18,S044,310,39,10,2
18,S045,317,35,2,8
18,S046,256,27,9,3
18,S047,167,22,2,8
18,S048,424,22,2,1
18,S049,407,54,7,5
18,S050,279,68,13,9
19,S001,120,43,5,7
19,S002,157,80,0,9
19,S003,325,47,1,3
19,S004,189,40,5,4
19,S005,278,65,10,9
19,S006,321,36,3,4
19,S007,337,71,7,10
19,S008,102,46,13,10
19,S009,335,44,13,2
19,S010,97,51,4,9
19,S011,315,38,2,7
19,S012,354,45,8,0
19,S013,337,52,12,3
19,S014,114,48,7,7
19,S015,267,52,8,0
19,S016,430,21,6,7
19,S017,276,20,6,10
19,S018,314,46,11,3
19,S019,368,41,6,5
19,S020,87,49,3,1
19,S021,250,22,4,9
19,S022,327,57,4,0
19,S023,495,71,13,6
19,S024,104,33,6,9
19,S025,304,28,2,4
19,S026,390,26,10,8
19,S027,62,79,11,2
19,S028,188,75,4,0
19,S029,187,71,2,6
19,S030,250,60,4,9
19,S031,122,77,13,4
19,S032,376,31,3,0
19,S033,358,50,2,10
19,S034,488,75,13,3
19,S035,424,27,6,1
19,S036,434,41,9,7
19,S037,117,58,1,5
19,S038,151,42,12,1
19,S039,480,55,5,9
19,S040,366,32,11,0
19,S041,378,37,10,1
19,S042,190,47,2,8
19,S043,367,76,1,6
19,S044,129,75,8,3
19,S045,366,74,12,4
19,S046,229,60,9,6
19,S047,444,42,14,4
19,S048,419,70,3,8
19,S049,342,21,2,7
19,S050,396,70,8,10
20,S001,266,46,7,2
20,S002,332,56,5,0
20,S003,359,62,3,5
20,S004,212,49,14,10
20,S005,244,65,6,4
20,S006,58,40,11,8
20,S007,292,50,8,1
20,S008,380,71,2,8
20,S009,315,62,3,6
20,S010,54,38,14,8
20,S011,99,74,13,4
20,S012,116,48,6,9
20,S013,110,31,13,9
20,S014,352,34,6,8
20,S015,142,37,9,1
20,S016,365,44,11,10
20,S017,75,41,13,0
20,S018,255,76,11,2
20,S019,181,36,10,5
20,S020,68,68,10,4
20,S021,454,47,14,8
20,S022,282,26,6,9
20,S023,236,79,15,7
20,S024,93,49,15,6
20,S025,320,37,13,9
20,S026,387,62,3,7
20,S027,282,59,7,6
20,S028,55,35,1,8
20,S029,415,38,9,2
20,S030,267,44,11,2
20,S031,75,76,5,8
20,S032,363,57,7,2
20,S033,368,54,2,0
20,S034,186,70,15,1
20,S035,82,36,4,8
20,S036,446,25,1,7
20,S037,191,48,7,1
20,S038,463,21,4,6
20,S039,59,38,9,10
20,S040,406,52,12,8
20,S041,291,68,4,0
20,S042,256,57,8,1
20,S043,244,24,9,1
20,S044,157,21,15,9
20,S045,95,51,5,3
20,S046,414,23,12,8
20,S047,165,51,10,1
20,S048,421,69,11,5
20,S049,317,31,0,3
20,S050,479,42,2,2
21,S001,282,52,0,8
21,S002,100,35,11,0
21,S003,117,58,5,0
21,S004,222,30,10,1
21,S005,286,22,4,1
21,S006,327,34,14,3
21,S007,231,40,13,9
21,S008,127,21,9,3
21,S009,239,20,8,8
21,S010,90,75,14,9
21,S011,439,68,14,0
21,S012,191,31,9,1
21,S013,79,44,11,10
21,S014,449,23,0,6
21,S015,355,35,5,6
21,S016,173,61,12,0
21,S017,319,73,6,8
21,S018,195,60,9,6
21,S019,245,65,0,10
21,S020,433,38,1,7
21,S021,280,29,9,4
21,S022,313,31,2,2
21,S023,449,26,0,5
21,S024,68,63,1,9
21,S025,153,33,0,6
21,S026,289,65,9,1
21,S027,346,40,15,6
21,S028,241,51,4,5
21,S029,185,52,10,8
21,S030,411,26,0,0
21,S031,341,57,13,10
21,S032,229,72,3,8
21,S033,307,49,11,10
21,S034,496,42,13,4
21,S035,414,71,8,0
21,S036,105,78,2,7
21,S037,419,38,2,0
21,S038,134,61,12,4
21,S039,457,66,5,8
21,S040,84,80,1,1
21,S041,128,32,10,3
21,S042,186,80,7,7
21,S043,496,69,13,4
21,S044,337,56,10,7
21,S045,412,77,1,10
21,S046,148,71,10,9
21,S047,238,63,14,2
21,S048,237,22,15,9
21,S049,437,38,5,4
21,S050,407,24,11,0
22,S001,262,26,10,6
22,S002,119,27,3,8
22,S003,499,55,4,8
22,S004,396,55,2,8
22,S005,378,55,12,9
22,S006,73,62,13,9
22,S007,120,41,4,8
22,S008,231,62,8,3
22,S009,70,54,3,10
22,S010,351,32,14,1
22,S011,355,55,8,4
22,S012,253,46,13,9
22,S013,302,26,9,5
22,S014,323,50,13,3
22,S015,230,43,4,9
22,S016,330,27,10,3
22,S017,81,20,10,6
22,S018,450,38,10,8
22,S019,491,61,11,7
22,S020,438,46,15,2
22,S021,311,69,5,9
