ReviewID,CustomerID,Rating,Review,Sentiment,FakeReview
REV00069,5405,4,Quidem repellendus exercitationem iure ea animi nesciunt esse.,Positive,No
REV00070,9747,5,Id asperiores eius illum.,Neutral,No
REV00071,9643,4,Quidem doloribus hic ducimus hic.,Negative,No
REV00072,9428,2,Repellat voluptatem optio aperiam temporibus cumque reprehenderit.,Negative,No
REV00073,6226,1,Suscipit alias fuga laboriosam reiciendis placeat magni.,Positive,No
REV00074,860,1,Dolores sed quas dolores facilis expedita.,Neutral,No
REV00075,3499,3,Perferendis explicabo dicta officia veritatis beatae nesciunt similique.,Negative,No
REV00076,1964,4,Animi aliquid cupiditate libero tenetur.,Negative,No
REV00077,5379,3,Sint excepturi fugit facere explicabo vel ex.,Neutral,No
REV00078,5846,4,Facilis odio rem possimus.,Neutral,No
REV00079,4194,3,Numquam perspiciatis pariatur perferendis.,Neutral,No
REV00080,7958,5,Sapiente fugit blanditiis dolores incidunt.,Positive,No
REV00081,8293,5,Similique nemo quae distinctio nulla officiis quasi.,Neutral,No
REV00082,2538,3,Nobis ipsam velit soluta minus mollitia praesentium velit.,Negative,No
REV00083,4304,3,Esse harum voluptas quam.,Neutral,No
REV00084,2307,1,Neque corrupti magni ducimus.,Neutral,No
REV00085,7725,2,Soluta debitis nihil accusamus.,Negative,No
REV00086,6600,5,Deserunt molestias voluptatibus facilis debitis sequi.,Neutral,No
REV00087,770,3,Aspernatur quaerat facere exercitationem.,Neutral,No
REV00088,8235,3,Ducimus sapiente adipisci doloribus eaque quis cum.,Positive,No
REV00089,5147,1,Eius eligendi adipisci sunt nulla suscipit.,Positive,No
REV00090,5031,4,Deleniti ducimus facere optio et quasi.,Positive,No
REV00091,383,3,Minima veniam enim dolor blanditiis.,Negative,No
REV00092,1124,1,Vitae velit ex maiores aperiam illo vitae.,Positive,No
REV00093,2317,1,Necessitatibus esse praesentium explicabo dignissimos nam.,Positive,No
REV00094,2504,3,At quidem tempore.,Positive,No
REV00095,9044,4,Quos dolore atque ipsa doloribus optio illo.,Neutral,No
REV00096,9052,3,Pariatur fugit autem at velit aliquam ea.,Neutral,No
REV00097,7931,5,Atque provident amet dignissimos eligendi dolores.,Positive,No
REV00098,8110,5,Atque minus nisi itaque sint nam.,Negative,No
REV00099,594,1,Facere perspiciatis excepturi quia.,Neutral,No
REV00100,6170,3,Hic non doloremque ut cupiditate.,Negative,No
REV00101,1451,4,Atque unde eligendi.,Positive,No
REV00102,7967,4,Minus ducimus quas nobis perspiciatis occaecati.,Negative,No
REV00103,2616,5,Expedita eaque sequi deserunt totam nisi aliquam.,Positive,No
REV00104,5841,3,Dolorem rem dolorem ad dolorum cum.,Positive,No
REV00105,4490,1,Aspernatur laudantium consequatur temporibus ipsam.,Negative,No
REV00106,2165,2,Tempore ratione magnam ullam praesentium.,Positive,No
REV00107,2062,2,Adipisci nostrum temporibus repudiandae.,Positive,No
REV00108,2014,1,Consequuntur molestiae dolorum nobis nulla debitis.,Negative,No
REV00109,7382,2,Deserunt omnis maxime ab.,Negative,No
REV00110,5807,4,Quis possimus porro nobis quod.,Positive,No
REV00111,9361,2,Dolorum voluptatem et qui.,Negative,No
REV00112,1182,3,Libero voluptatem asperiores fugiat natus quisquam modi eaque.,Neutral,No
REV00113,4955,2,Aliquid a eos quis.,Neutral,No
REV00114,4877,1,Odit quae fuga vero alias expedita.,Neutral,No
REV00115,4906,2,Qui quo ex delectus.,Positive,Yes
REV00116,6211,4,Similique perferendis praesentium.,Positive,No
REV00117,1207,1,Distinctio nobis at nulla occaecati et quia.,Positive,No
REV00118,3956,4,Hic fugiat soluta officia repellat modi.,Neutral,No
REV00119,1589,4,Ad a numquam saepe deserunt molestias.,Negative,No
REV00120,9440,4,Quisquam laborum eum.,Positive,No
REV00121,1997,4,Quae vitae voluptate facilis.,Positive,No
REV00122,2189,5,Temporibus nobis non velit.,Neutral,No
REV00123,6122,1,Veritatis asperiores ipsa fuga inventore maxime.,Negative,No
REV00124,1126,1,Facilis modi sint dignissimos adipisci est.,Negative,No
REV00125,4749,2,Accusamus molestias vel.,Neutral,No
REV00126,6550,1,Vero perferendis reiciendis dolores.,Positive,No
REV00127,5487,3,Veniam quisquam asperiores reiciendis distinctio.,Neutral,No
REV00128,2705,4,Ducimus veritatis ipsam aliquid repudiandae facere illum.,Neutral,No
REV00129,8371,1,Accusamus voluptatem veritatis nobis distinctio corrupti ipsum.,Positive,No
REV00130,3328,5,Laboriosam libero mollitia animi quidem.,Positive,No
REV00131,3868,5,Recusandae quidem labore.,Positive,No
REV00132,2737,3,Aut perferendis tenetur modi magnam dolore.,Neutral,No
REV00133,8056,2,Quaerat vel exercitationem explicabo modi.,Neutral,No
REV00134,2121,1,Mollitia commodi ipsa dolorem sunt aut.,Negative,No
REV00135,8731,2,Recusandae sit aspernatur perspiciatis voluptates doloremque.,Positive,Yes
REV00136,8175,1,Autem accusamus molestiae quasi.,Negative,No
REV00137,7052,2,Eius facere eaque quia accusantium ipsum.,Neutral,No
REV00138,2527,5,Cumque tenetur maiores dolorem nisi aspernatur.,Neutral,No
REV00139,4369,2,Esse adipisci at neque.,Negative,No
REV00140,4618,4,Odit atque possimus cum labore omnis deleniti nostrum.,Neutral,No
REV00141,7384,1,Velit unde maxime eum doloribus aspernatur quibusdam.,Neutral,No
REV00142,9895,4,Cum quibusdam rerum tempore.,Neutral,No
REV00143,5549,3,Iste corrupti dolores assumenda.,Negative,No
REV00144,3715,2,Nulla distinctio aut nobis.,Positive,No
REV00145,2698,2,Officiis deleniti doloribus illo reiciendis ducimus voluptas.,Positive,No
REV00146,9570,3,Atque hic eligendi deleniti nesciunt.,Negative,No
REV00147,7822,5,Sunt placeat molestias cum esse at reiciendis.,Neutral,No
REV00148,5349,4,Aut molestias ipsum.,Neutral,No
REV00149,938,2,Rem quia molestias quidem sint expedita occaecati.,Positive,No
REV00150,7839,3,Fuga alias voluptatem numquam laboriosam quidem.,Negative,No
REV00151,1408,4,Quibusdam sapiente dicta laudantium ratione.,Negative,No
REV00152,135,4,Eius aliquid exercitationem quisquam sint beatae illo.,Negative,No
REV00153,3352,4,Eius beatae quasi est libero.,Negative,No
REV00154,6340,4,Est provident sapiente ducimus laudantium laborum accusantium vel.,Negative,No
REV00155,3963,2,Modi perspiciatis nemo.,Negative,No
REV00156,1606,3,Provident soluta temporibus cum.,Negative,No
REV00157,7387,3,Natus ad unde amet.,Neutral,No
REV00158,2267,3,Rerum eius odit numquam fugit distinctio laborum.,Negative,Yes
REV00159,8099,1,Numquam aperiam vitae minus ipsa.,Positive,No
REV00160,4687,5,Itaque praesentium recusandae aliquid placeat sint pariatur.,Negative,Yes
REV00161,1904,2,Sed doloribus voluptate laudantium.,Neutral,No
REV00162,8376,2,Modi cumque qui reiciendis provident modi autem aliquam.,Neutral,No
REV00163,6987,1,Expedita praesentium similique.,Negative,No
REV00164,7279,4,Cum odio corrupti nihil recusandae.,Neutral,No
REV00165,4251,4,Enim maiores dicta est enim laudantium.,Neutral,No
REV00166,3286,5,Dolor quos exercitationem repellat numquam.,Neutral,No
REV00167,5270,4,Fuga ut veniam rerum.,Neutral,No
REV00168,7753,1,Omnis corporis suscipit error fuga.,Neutral,No
REV00169,8026,2,Unde deserunt fugit inventore sed.,Negative,No
REV00170,9224,1,Eos beatae nobis delectus magnam accusantium illum perferendis.,Neutral,No
REV00171,4681,4,Ut pariatur ex ipsum voluptate.,Neutral,No
REV00172,5904,1,Molestias error cupiditate tempora quia voluptate dolore.,Neutral,No
REV00173,7585,5,Deleniti rerum repudiandae deleniti sapiente ea.,Negative,No
REV00174,9924,1,Totam in sit quod hic officiis.,Negative,No
REV00175,994,1,Possimus beatae pariatur quod.,Neutral,No
REV00176,2939,3,Labore perferendis aut eum.,Negative,No
REV00177,1313,4,Nisi soluta ullam consequuntur minima possimus.,Neutral,No
REV00178,4937,5,Quasi eveniet eligendi delectus repellat ipsam magni natus.,Neutral,No
REV00179,8879,2,Esse illo consequatur omnis.,Negative,No
REV00180,9502,1,Quam perferendis dolorem nihil voluptatum.,Negative,No
REV00181,1963,4,Architecto minus cupiditate praesentium recusandae asperiores cumque.,Positive,No
REV00182,9144,2,Commodi cupiditate alias dicta similique placeat aut reprehenderit.,Neutral,No
REV00183,1470,5,Eligendi repellendus harum neque soluta.,Negative,No
REV00184,550,1,Quae modi neque officia.,Negative,No
REV00185,1655,1,Nisi laudantium et quibusdam perferendis non necessitatibus.,Neutral,No
REV00186,4575,3,Sint sequi hic omnis cum fugit.,Negative,No
REV00187,2381,1,Nostrum dolorem pariatur rerum occaecati a qui.,Neutral,No
REV00188,9188,5,Sit hic neque nesciunt.,Negative,No
REV00189,7341,2,Voluptatibus atque dolore vero.,Positive,No
REV00190,2308,2,Qui error aperiam necessitatibus hic consectetur sint.,Neutral,No
REV00191,5599,1,Praesentium rerum nulla voluptates totam.,Positive,No
REV00192,6050,4,Praesentium quos beatae reiciendis reiciendis soluta.,Neutral,No
REV00193,3694,3,Porro veniam nemo ducimus.,Neutral,No
REV00194,5750,4,Saepe laudantium alias laboriosam.,Positive,No
REV00195,4355,3,Dolore deleniti voluptatum exercitationem exercitationem quod nemo.,Negative,No
REV00196,8351,2,Eum consequatur tenetur culpa asperiores consequatur.,Negative,No
REV00197,63,5,Incidunt quos voluptatibus ad temporibus incidunt consequuntur.,Neutral,No
REV00198,2941,3,Veniam animi alias officia provident iure fugit.,Neutral,No
REV00199,1750,2,Commodi nemo aspernatur eveniet laborum.,Neutral,No
REV00200,4529,3,Culpa commodi consequatur voluptates vel quam voluptate.,Positive,No
REV00201,7702,1,Nisi vel eveniet quis libero ducimus nihil.,Positive,No
REV00202,4343,4,Vero odit totam perferendis non repellendus odit ipsum.,Negative,No
REV00203,1969,1,Deserunt tempore enim dolor alias.,Negative,No
REV00204,1884,4,Minima eveniet dolorum voluptate in.,Positive,No
REV00205,8030,1,Quo quis quia laboriosam saepe porro.,Positive,No
REV00206,413,1,Inventore voluptate consectetur.,Negative,No
REV00207,7275,2,Est pariatur nam mollitia quam placeat.,Positive,No
REV00208,8194,4,Deserunt et hic corrupti harum explicabo.,Negative,No
REV00209,9133,3,Doloribus a blanditiis dicta.,Positive,No
REV00210,744,2,At quis laborum nostrum.,Positive,No
REV00211,2036,1,Assumenda itaque optio numquam natus nesciunt.,Neutral,No
REV00212,4507,5,Ipsam neque molestiae non doloribus architecto dolor.,Positive,No
REV00213,2992,2,Nihil incidunt nostrum omnis sit labore tenetur.,Neutral,No
REV00214,930,4,Similique distinctio quibusdam voluptates corporis delectus nisi mollitia.,Negative,No
REV00215,5629,2,Deleniti beatae rerum perferendis similique dolorum.,Neutral,No
REV00216,6130,2,Optio dolore distinctio amet nulla saepe quidem voluptatum.,Positive,No
REV00217,9194,1,Rem illo doloribus necessitatibus.,Positive,No
REV00218,3354,4,Assumenda eaque accusantium.,Positive,No
REV00219,8759,2,Alias sit ipsa exercitationem facere aut culpa.,Negative,No
REV00220,217,1,Sit nulla expedita quod laudantium.,Neutral,No
REV00221,3195,1,Possimus molestias totam debitis dolor est ex odio.,Neutral,No
REV00222,2188,5,Sequi blanditiis omnis consequuntur velit.,Negative,No
REV00223,9271,1,Assumenda maxime tenetur cumque.,Negative,No
REV00224,5378,2,Perferendis cum suscipit repellat itaque.,Positive,No
REV00225,9397,1,Quasi unde ab tenetur doloremque perspiciatis distinctio.,Negative,No
REV00226,2240,5,Sint et quaerat itaque.,Positive,No
REV00227,3661,3,Amet quos aut impedit.,Negative,No
REV00228,4572,2,Placeat laborum similique totam asperiores perspiciatis.,Negative,No
REV00229,84,5,Ducimus quo ipsam blanditiis ipsam recusandae consequuntur saepe.,Positive,No
REV00230,4981,2,Laborum officiis eligendi dolores ipsam earum inventore.,Neutral,No
REV00231,8612,5,Unde nisi omnis praesentium quis id.,Neutral,No
REV00232,5617,4,Deleniti porro exercitationem.,Negative,No
REV00233,1678,1,Asperiores voluptatibus voluptas laboriosam iste minus perferendis.,Positive,No
REV00234,3731,3,Eius corporis harum.,Positive,No
REV00235,8977,5,In cumque deleniti atque minus natus quia.,Negative,No
REV00236,3831,3,Totam excepturi vero cum.,Positive,No
REV00237,8507,3,Impedit eos nihil aspernatur maiores assumenda architecto.,Neutral,No
REV00238,2792,1,Quam sit illo pariatur cumque ratione qui.,Positive,No
REV00239,9781,3,Enim aliquid unde accusantium optio fugiat.,Positive,No
REV00240,9203,3,Voluptas labore numquam mollitia pariatur voluptatibus ab cupiditate.,Neutral,No
REV00241,6174,3,Eligendi dolor magni iure iusto reprehenderit nihil.,Negative,No
REV00242,5857,1,Occaecati illum quasi ratione nulla.,Positive,No
REV00243,6014,2,Error unde hic dolores doloremque ut.,Negative,No
REV00244,9693,3,Sint necessitatibus repellendus eveniet incidunt reiciendis.,Positive,No
REV00245,2760,1,Libero dolorem porro cumque consequatur nisi tenetur autem.,Negative,No
REV00246,8216,2,In tempore ipsum distinctio provident.,Positive,No
REV00247,7259,3,Modi consequuntur consequatur ullam deleniti illo asperiores consectetur.,Neutral,No
REV00248,3149,4,Nostrum ipsa esse velit libero provident.,Negative,No
REV00249,2317,5,Aperiam quibusdam repellat esse non.,Neutral,No
REV00250,2541,1,Repudiandae modi accusamus nisi.,Negative,No
REV00251,2235,4,Eaque doloribus corporis.,Positive,No
REV00252,1558,5,Cum laboriosam magni rem.,Positive,No
REV00253,6648,2,Quisquam assumenda cum reprehenderit.,Negative,No
REV00254,516,5,Eius dicta illo exercitationem tempora eos eum.,Negative,No
REV00255,8106,3,Occaecati commodi quis repudiandae ab esse aperiam.,Neutral,No
REV00256,4785,3,Quae atque aperiam velit provident quis architecto.,Neutral,No
REV00257,8712,5,Molestias distinctio non aliquid beatae perferendis.,Positive,No
REV00258,6637,5,Soluta molestias corporis quidem voluptate repellat.,Positive,No
REV00259,6487,4,Dolore ipsam rem harum excepturi.,Negative,No
REV00260,4664,4,Rerum velit odit recusandae voluptas.,Positive,No
REV00261,4445,1,Sed occaecati consectetur perspiciatis dicta porro impedit iure.,Neutral,No
REV00262,1556,4,In laboriosam facere cumque similique facere.,Negative,No
REV00263,1273,1,Amet tenetur consequatur ipsam laborum ducimus.,Positive,No
REV00264,8066,3,Dignissimos accusantium praesentium.,Negative,No
REV00265,7061,4,Ratione harum exercitationem unde praesentium.,Negative,No
REV00266,7414,4,Quod nisi harum eligendi quidem impedit.,Positive,No
REV00267,7418,1,Nihil tenetur quis iure excepturi culpa molestiae.,Negative,No
REV00268,9703,1,Similique nihil dolores.,Positive,No
REV00269,5994,2,Dolor repellat facilis.,Neutral,No
REV00270,9361,3,Ex aliquid beatae nemo facere id.,Positive,No
REV00271,7134,2,Quos facere rem maiores fuga suscipit voluptate.,Negative,No
REV00272,9405,2,Beatae dicta vero dolores.,Neutral,No
REV00273,115,5,Commodi eos repellendus deserunt molestias maiores.,Negative,No
REV00274,4384,5,Deserunt maiores culpa.,Negative,No
REV00275,208,2,Voluptatibus quis aliquid.,Positive,Yes
REV00276,6125,3,Architecto ducimus vitae quisquam quia repellat nemo.,Negative,No
REV00277,4286,5,Beatae iste incidunt a aliquam dicta.,Negative,No
REV00278,7174,2,Tempore ea iure eius quasi consequatur.,Neutral,No
REV00279,2433,1,Corporis dolor ut sequi quod dolor eius facere.,Negative,No
REV00280,3599,2,Corrupti cumque cumque odit aliquid.,Positive,No
REV00281,4778,5,Facilis reiciendis cumque tenetur.,Neutral,No
REV00282,28,4,Accusantium blanditiis tempore eos eligendi.,Positive,No
REV00283,7493,5,Eum sapiente necessitatibus odit facilis.,Neutral,No
REV00284,6609,2,Ea optio unde eligendi.,Neutral,No
REV00285,3573,1,Earum mollitia modi recusandae.,Neutral,No
REV00286,7417,1,Tenetur ipsam doloremque nobis.,Positive,No
REV00287,1829,2,Est quo ea inventore porro quod fuga reprehenderit.,Neutral,No
REV00288,259,2,Culpa natus dolor quibusdam quaerat repudiandae praesentium.,Neutral,No
REV00289,4965,3,Quo facilis laudantium veniam.,Positive,No
REV00290,8320,2,Voluptatibus sunt nobis.,Negative,No
REV00291,5388,4,Laboriosam aliquam incidunt unde.,Neutral,No
REV00292,3899,2,Recusandae ullam quaerat accusantium.,Positive,No
REV00293,8506,5,Expedita officia ea voluptatum quia autem autem.,Negative,No
REV00294,1463,2,Ad mollitia corrupti odio repellat.,Positive,No
REV00295,3851,2,Aspernatur quis voluptates dicta.,Neutral,No
REV00296,7898,5,Tempore minima labore ducimus ex quas.,Negative,No
REV00297,8567,4,Reprehenderit commodi harum rerum aspernatur nihil necessitatibus.,Neutral,No
REV00298,2286,2,Ex similique non est numquam.,Positive,No
REV00299,7167,4,Ab officiis unde deserunt minima.,Neutral,No
REV00300,8699,2,Consectetur perspiciatis asperiores eos.,Negative,No
REV00301,8780,3,Architecto blanditiis recusandae.,Negative,No
REV00302,6059,2,Quidem blanditiis ipsam adipisci in perferendis repudiandae.,Negative,No
REV00303,1207,4,Quos ipsum libero totam facere harum illo.,Negative,No
REV00304,4319,4,Perferendis odit quis perferendis fuga a.,Negative,No
REV00305,1935,4,Dolorum error cum quod perspiciatis laborum.,Negative,No
REV00306,9486,4,Corporis necessitatibus porro consectetur aut.,Neutral,No
REV00307,5902,3,Error fugit inventore doloremque eius sapiente.,Negative,No
REV00308,4831,3,Animi dignissimos illo quod sapiente autem.,Neutral,No
REV00309,387,5,Odio explicabo voluptas laudantium.,Neutral,No
REV00310,6539,3,Cum beatae vel temporibus repudiandae.,Negative,No
REV00311,4257,2,Sit nihil ad esse eos.,Negative,No
REV00312,8246,3,Beatae maxime consequuntur quibusdam ducimus.,Positive,No
REV00313,9207,2,Fugit nobis vero ex atque.,Neutral,No
REV00314,3817,4,A quibusdam harum fugiat quam eligendi.,Negative,No
REV00315,8213,5,Voluptatum eligendi nemo.,Negative,No
REV00316,9384,3,Minus cum placeat et similique recusandae sint.,Positive,No
REV00317,8647,5,Dolor magnam illum aperiam qui.,Negative,No
REV00318,4633,4,Est excepturi maiores sit quam.,Neutral,No
REV00319,5020,3,Dolor sunt doloribus maiores consequuntur.,Positive,No
REV00320,2594,5,Fugiat omnis molestiae eos dicta nam sequi.,Negative,No
REV00321,1459,1,Numquam quam ducimus ab tempore asperiores.,Neutral,No
REV00322,2219,5,Quis earum nesciunt eum.,Positive,No
REV00323,6209,4,Unde eius vel vero necessitatibus.,Positive,No
REV00324,7781,5,Suscipit a asperiores.,Positive,No
REV00325,4255,4,Ullam consequuntur eaque veritatis.,Negative,No
REV00326,3257,3,Eius suscipit omnis officia ipsum nam dolor officia.,Positive,No
REV00327,9598,4,Aspernatur inventore recusandae.,Neutral,Yes
REV00328,9552,3,Mollitia ipsam quam mollitia sit consectetur.,Positive,No
REV00329,3933,4,Animi labore ex eveniet.,Neutral,No
REV00330,9184,3,Nam hic nostrum nam repellendus reiciendis et.,Neutral,No
REV00331,4157,1,Corporis non fuga fugit quasi quidem.,Positive,No
REV00332,3074,5,Corporis quis doloremque.,Negative,No
REV00333,4356,5,Dolorem iusto vero recusandae accusantium similique.,Positive,No
REV00334,9046,4,Impedit dolorum laudantium sed corrupti magni.,Negative,No
REV00335,3519,4,Nesciunt porro voluptate enim animi omnis.,Negative,No
REV00336,324,1,Nemo fugit esse.,Positive,No
REV00337,4751,5,Recusandae error eligendi qui modi fuga.,Neutral,No
REV00338,2429,4,Itaque quisquam laudantium cum cupiditate quod.,Neutral,No
REV00339,6029,2,Nostrum fugiat cupiditate.,Neutral,No
REV00340,6446,3,Fuga iure qui eaque occaecati aliquid veniam illo.,Negative,No
REV00341,5365,3,Officiis enim cum quisquam ullam optio dolores.,Negative,No
REV00342,5820,2,Possimus perspiciatis eius rerum aspernatur.,Neutral,No
REV00343,1918,5,Incidunt facilis quo sunt.,Negative,No
REV00344,5421,1,Dolorem reprehenderit reprehenderit eveniet voluptates.,Positive,No
REV00345,9004,2,Magni vitae enim pariatur.,Positive,No
REV00346,7470,4,Est accusantium fugit odit.,Neutral,No
REV00347,5253,4,Quidem unde maxime.,Neutral,No
REV00348,7949,3,Iusto minus eius sunt.,Neutral,No
REV00349,3270,3,Assumenda est labore quia tenetur ullam maiores eaque.,Positive,No
REV00350,3467,1,Dicta tempora ex.,Neutral,No
REV00351,6539,2,Illo quidem saepe maiores ipsam.,Neutral,No
REV00352,7326,5,Nihil quisquam necessitatibus exercitationem occaecati possimus.,Neutral,No
REV00353,757,5,Culpa impedit saepe.,Positive,No
REV00354,9628,3,Similique nihil laudantium iste nulla placeat optio quae.,Positive,No
REV00355,2981,2,Animi et eveniet ut.,Negative,No
REV00356,2670,2,Explicabo error repudiandae aspernatur nulla.,Negative,No
REV00357,7639,5,Vitae vel molestias exercitationem modi magnam.,Negative,No
REV00358,309,1,Unde pariatur a sed officiis.,Positive,No
REV00359,8574,3,Minima rem soluta nulla fugiat.,Neutral,No
REV00360,9560,1,Quod inventore laboriosam blanditiis excepturi.,Negative,No
REV00361,3011,5,Molestiae dolorum odit iste eius dolorum nihil.,Negative,No
REV00362,1532,5,Necessitatibus illum voluptatem iusto quidem magnam.,Negative,No
REV00363,5697,5,Dolorem occaecati voluptatum est recusandae nihil debitis eius.,Neutral,No
REV00364,7526,3,Beatae in dolorum.,Neutral,No
REV00365,4218,3,Perferendis error molestiae.,Positive,No
REV00366,6781,5,Libero et earum labore.,Negative,No
REV00367,957,3,Cupiditate eaque corrupti maxime debitis.,Negative,No
REV00368,3462,4,Non repudiandae aut hic impedit id.,Neutral,No
REV00369,7554,2,Quo voluptatum fugiat non.,Positive,No
REV00370,1230,1,Quia repellat doloribus quia corporis quaerat consectetur.,Positive,No
REV00371,3601,5,A minus eaque.,Negative,No
REV00372,4166,2,Dolore nihil placeat consequuntur dolores.,Negative,No
REV00373,8180,1,Saepe aliquam vitae facilis repellat consequatur officiis eligendi.,Negative,No
REV00374,595,3,Ipsam error sapiente culpa earum.,Positive,No
REV00375,5506,1,Perferendis consequuntur unde aut error alias.,Positive,No
REV00376,5256,3,Cumque suscipit odit similique.,Negative,No
REV00377,9453,3,Necessitatibus ex animi harum debitis.,Neutral,No
REV00378,3091,5,Quas amet eius voluptate explicabo.,Positive,No
REV00379,6989,3,Voluptatem laborum veritatis asperiores ut dicta.,Positive,No
REV00380,7459,5,Ab atque aliquid voluptas dolor.,Positive,No
REV00381,3561,5,Inventore quam iusto quas soluta deserunt.,Positive,No
REV00382,4705,5,Recusandae repellendus tenetur alias.,Neutral,No
REV00383,3385,5,Quod perspiciatis voluptatem quae.,Positive,No
REV00384,4353,5,Porro possimus quam at.,Neutral,No
REV00385,7296,1,Deserunt quis provident dolor aliquam.,Positive,No
REV00386,3861,1,Ipsam nostrum autem inventore minima laudantium.,Positive,No
REV00387,6876,3,At at dolore architecto.,Negative,No
REV00388,3850,1,Distinctio et hic tempora dolore molestiae error.,Neutral,No
